File Name,CC Value
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9856.png,91.0574284690728
./vignoles_output\Cluster-Closure-7-24-23\CR1\IMG_9857.png,91.94390478027631
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9826.png,96.60512690801629
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9827.png,94.91335355515663
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9828.png,92.21552480946083
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9829.png,91.22685677280171
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9830.png,93.21765164399093
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9831.png,88.5186120165659
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9832.png,94.68901565255732
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9833.png,92.34329727261274
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9834.png,87.20385723733938
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9835.png,92.59136235512725
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9836.png,90.83568226673385
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9837.png,97.39872029058537
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9838.png,90.28604497354497
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9839.png,94.30857701877046
./vignoles_output\Cluster-Closure-7-24-23\CR2\IMG_9840.png,95.16222239281515
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9811.png,92.8659349542286
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9812.png,96.59703194549425
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9813.png,92.32492572646342
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9814.png,93.59561339968086
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9815.png,95.0778363042748
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9816.png,94.64037206317713
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9817.png,92.2006471377131
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9819.png,94.31909964989083
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9818.png,94.28845853542033
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9820.png,95.97944453630217
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9821.png,97.867104499979
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9823.png,94.58909576562107
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9822.png,95.13436161501637
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9824.png,92.87489108297639
./vignoles_output\Cluster-Closure-7-24-23\CR3\IMG_9825.png,87.819886345742
./vignoles_output\Cluster-Closure-7-24-23\ER1\IMG_9858.png,97.92855076058201
./vignoles_output\Cluster-Closure-7-24-23\ER1\IMG_9859.png,91.57586694014024
./vignoles_output\Cluster-Closure-7-24-23\ER1\IMG_9860.png,94.51834890977996
./vignoles_output\Cluster-Closure-7-24-23\ER1\IMG_9861.png,97.17290610302763
./vignoles_output\Cluster-Closure-7-24-23\ER1\IMG_9862.png,94.15452668335853
./vignoles_output\Cluster-Closure-7-24-23\ER1\IMG_9863.png,98.36421885498027
./vignoles_output\Cluster-Closure-7-24-23\ER1\IMG_9864.png,95.4522221697321
./vignoles_output\Cluster-Closure-7-24-23\ER1\IMG_9865.png,93.5346674356471
./vignoles_output\Cluster-Closure-7-24-23\ER1\IMG_9866.png,89.96390319244982
./vignoles_output\Cluster-Closure-7-24-23\ER1\IMG_9867.png,91.94314203304779
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9963 2.png,91.11601237717309
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9965 4.png,96.0026304117326
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9964 2.png,83.28598559408331
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9966 2.png,78.59975683946419
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9967 2.png,89.69350519914757
./vignoles_output\Cluster-Closure-7-31-23\CR1\IMG_9968 4.png,81.64310187809691
